1  414.742  2.072  INDEF  INDEF
2  924.643  2.481  INDEF  INDEF
3  1129.206  2.958  INDEF  INDEF
4  4.000  4.000  INDEF  INDEF
5  814.494  4.134  INDEF  INDEF
6  1202.108  4.543  INDEF  INDEF
7  1414.197  5.348  INDEF  INDEF
8  21.453  7.000  18.239  0.236
9  793.000  6.236  INDEF  INDEF
10  875.101  6.318  INDEF  INDEF
11  1435.000  7.673  15.974  0.042
12  391.000  8.000  16.241  0.054
13  783.000  8.326  17.504  0.135
14  829.596  8.000  16.162  0.040
15  1123.028  7.463  15.526  0.022
16  1526.807  7.629  14.693  0.012
17  1531.296  8.134  14.739  0.013
18  1859.427  9.000  16.212  0.041
19  976.309  10.000  14.484  0.013
20  1689.000  10.000  16.819  0.063
21  1277.475  10.275  17.030  0.076
22  556.000  12.837  16.456  0.046
23  1530.000  11.053  14.761  0.013
24  648.457  13.116  17.380  0.105
25  1591.147  13.344  16.058  0.034
26  1158.565  14.583  13.289  0.005
27  95.411  14.821  15.764  0.031
28  694.847  15.000  14.653  0.012
29  1591.354  14.000  16.069  0.034
30  1758.713  15.000  16.853  0.073
31  29.000  15.000  INDEF  INDEF
32  766.000  16.000  15.408  0.022
33  797.000  16.000  16.530  0.051
34  222.000  17.000  16.557  0.051
35  966.767  17.000  15.022  0.016
36  1452.482  17.000  16.342  0.044
37  440.000  17.081  15.455  0.027
38  2028.557  17.061  16.399  0.046
39  430.000  18.613  12.930  0.005
40  1430.545  21.004  15.073  0.018
41  1878.000  21.561  16.604  0.061
42  1969.076  20.000  16.697  0.058
43  1193.018  22.468  15.160  0.017
44  1331.517  22.000  16.928  0.071
45  1775.403  23.000  15.784  0.029
46  1016.199  24.655  16.070  0.033
47  414.527  25.000  10.318  0.001
48  32.130  26.000  16.746  0.058
49  1297.180  27.000  14.486  0.012
50  1410.505  27.000  15.577  0.024
51  374.000  27.553  15.826  0.030
52  820.000  28.384  17.542  0.122
53  1369.368  27.880  16.633  0.057
54  970.000  28.000  16.965  0.071
55  1827.213  29.645  17.299  0.099
56  59.988  30.000  15.717  0.034
57  116.000  30.000  14.817  0.013
58  291.417  30.000  13.985  0.008
59  763.781  29.822  17.653  0.149
60  1910.000  30.000  16.567  0.048
61  1007.000  31.000  16.650  0.052
62  1488.536  30.622  14.207  0.009
63  1750.310  31.673  15.282  0.018
64  640.661  32.000  17.174  0.082
65  35.000  33.177  16.194  0.038
66  363.000  33.097  17.202  0.096
67  743.000  33.000  13.949  0.008
68  1879.433  33.000  13.816  0.007
69  78.250  34.323  12.076  0.003
70  230.000  34.000  17.857  0.181
71  1307.633  34.000  15.056  0.017
72  1975.070  35.000  17.314  0.091
73  402.959  33.410  14.695  0.015
74  845.000  37.000  14.266  0.010
75  1286.000  36.674  16.939  0.090
76  948.000  39.000  16.619  0.055
77  1783.540  38.080  15.636  0.024
78  828.000  39.757  16.917  0.079
79  1980.000  40.000  16.941  0.067
80  1834.533  41.009  13.216  0.005
81  290.933  43.630  16.547  0.064
82  1931.410  43.840  15.875  0.030
83  57.000  43.580  14.896  0.016
