1  128.000  1.000  INDEF  INDEF
2  830.172  2.000  INDEF  INDEF
3  1558.047  2.000  INDEF  INDEF
4  1594.737  2.000  INDEF  INDEF
5  167.462  2.916  INDEF  INDEF
6  963.378  2.116  INDEF  INDEF
7  261.885  3.638  INDEF  INDEF
8  344.000  4.939  INDEF  INDEF
9  1524.617  6.000  INDEF  INDEF
10  1660.365  6.000  INDEF  INDEF
11  995.309  7.108  15.550  0.021
12  1797.000  6.573  16.432  0.042
13  215.193  8.153  17.330  0.100
14  1369.939  8.172  16.776  0.054
15  1677.880  7.661  15.753  0.027
16  544.000  9.836  15.468  0.033
17  568.000  8.729  16.087  0.036
18  1174.287  9.126  14.904  0.014
19  1538.000  9.427  16.032  0.038
20  1858.787  9.109  15.280  0.022
21  1878.000  10.236  15.249  0.023
22  1904.214  10.455  16.962  0.071
23  1063.399  11.143  16.179  0.037
24  471.383  11.626  16.411  0.044
25  673.000  12.000  17.582  0.121
26  790.000  11.503  15.312  0.021
27  1294.406  12.000  16.404  0.046
28  1002.000  13.000  15.223  0.017
29  1635.418  12.575  16.925  0.069
30  445.860  14.001  12.850  0.004
31  1450.929  13.681  16.706  0.056
32  1965.371  13.716  15.923  0.028
33  1705.011  16.180  16.167  0.035
34  546.111  17.605  14.313  0.011
35  1336.125  17.000  13.930  0.008
36  516.818  17.616  9.966  0.001
37  735.000  18.371  15.846  0.029
38  565.000  19.066  16.262  0.039
39  665.000  19.620  15.062  0.015
40  1148.785  18.544  17.410  0.096
41  1442.696  19.000  16.408  0.046
42  125.751  20.156  16.856  0.063
43  693.570  19.233  14.924  0.013
44  807.000  20.503  14.162  0.009
45  697.000  21.947  14.997  0.014
46  598.673  23.565  14.578  0.011
47  59.000  23.417  15.080  0.016
48  318.000  25.284  16.565  0.052
49  1173.166  24.392  15.618  0.024
50  716.344  25.438  16.497  0.051
51  1306.149  26.193  14.988  0.015
52  1729.000  25.841  14.596  0.011
53  1363.000  27.241  17.691  0.117
54  495.000  28.000  16.056  0.041
55  76.081  29.000  16.728  0.058
56  1480.495  28.851  15.265  0.017
57  1476.000  29.890  15.331  0.018
58  1038.489  31.000  15.337  0.018
59  1521.838  30.723  15.738  0.025
60  1740.226  31.000  16.617  0.053
61  1874.729  30.620  12.350  0.003
62  279.000  31.493  16.441  0.042
